venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
MG01-20260723-001-001,2026-07-23,MG01,Notebook,Eletrônicos,2,3674.30
MG01-20260723-001-002,2026-07-23,MG01,Teclado,Acessórios,4,145.16
MG01-20260723-001-003,2026-07-23,MG01,Notebook,Eletrônicos,2,3728.20
MG01-20260723-001-004,2026-07-23,MG01,Notebook,Eletrônicos,2,3224.90
MG01-20260723-001-005,2026-07-23,MG01,Mouse,Acessórios,1,73.25
MG01-20260723-001-006,2026-07-23,MG01,Cadeira,Móveis,3,928.89
MG01-20260723-001-007,2026-07-23,MG01,Notebook,Eletrônicos,2,3566.50
MG01-20260723-001-008,2026-07-23,MG01,Headset,Acessórios,4,241.50
MG01-20260723-001-009,2026-07-23,MG01,Caneta,Escritório,2,5.14
MG01-20260723-001-010,2026-07-23,MG01,Headset,Acessórios,4,227.08
MG01-20260723-001-011,2026-07-23,MG01,Mochila,Escritório,4,181.76
MG01-20260723-001-012,2026-07-23,MG01,Teclado,Acessórios,3,164.54
MG01-20260723-001-013,2026-07-23,MG01,Mouse,Acessórios,5,72.64
MG01-20260723-001-014,2026-07-23,MG01,Monitor,Eletrônicos,1,1226.88
MG01-20260723-001-015,2026-07-23,MG01,Monitor,Eletrônicos,2,1141.92
MG01-20260723-001-016,2026-07-23,MG01,Caderno,Escritório,4,24.25
MG01-20260723-001-017,2026-07-23,MG01,Monitor,Eletrônicos,3,1233.12
MG01-20260723-001-018,2026-07-23,MG01,Caderno,Escritório,2,26.66
MG01-20260723-001-019,2026-07-23,MG01,Monitor,Eletrônicos,1,1257.36
MG01-20260723-001-020,2026-07-23,MG01,Mochila,Escritório,5,179.59
