venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
MG01-20260723-FALHA001-001,2026-07-23,MG01,Mesa,Móveis,4,1213.08
MG01-20260723-FALHA001-002,2026-07-23,MG01,Mochila,Escritório,2,196.99
MG01-20260723-FALHA001-003,2026-07-23,MG01,Caneta,Escritório,3,4.62
MG01-20260723-FALHA001-004,2026-07-23,MG01,Teclado,Acessórios,5,164.54
MG01-20260723-FALHA001-005,2026-07-23,MG01,Mouse,Acessórios,1,85.31
MG01-20260723-FALHA001-006,2026-07-23,MG01,Mochila,Escritório,5,188.19
MG01-20260723-FALHA001-007,2026-07-23,MG01,Headset,Acessórios,1,257.42
MG01-20260723-FALHA001-008,2026-07-23,MG01,Mouse,Acessórios,3,85.39
MG01-20260723-FALHA001-009,2026-07-23,MG01,Caderno,Escritório,3,27.44
MG01-20260723-FALHA001-010,2026-07-23,MG01,Mochila,Escritório,2,184.79
MG01-20260723-FALHA001-011,2026-07-23,MG01,Mochila,Escritório,1,190.39
MG01-20260723-FALHA001-012,2026-07-23,MG01,Notebook,Eletrônicos,1,3740.45
MG01-20260723-FALHA001-013,2026-07-23,MG01,Mochila,Escritório,3,169.16
MG01-20260723-FALHA001-014,2026-07-23,MG01,Cadeira,Móveis,2,950.85
MG01-20260723-FALHA001-015,2026-07-23,MG01,Caneta,Escritório,5,5.12
MG01-20260723-FALHA001-016,2026-07-23,MG01,Notebook,Eletrônicos,5,3376.80
MG01-20260723-FALHA001-017,2026-07-23,MG01,Notebook,Eletrônicos,1,3401.65
MG01-20260723-FALHA001-018,2026-07-23,MG01,Mouse,Acessórios,4,73.42
MG01-20260723-FALHA001-019,2026-07-23,MG01,Notebook,Eletrônicos,4,3667.30
MG01-20260723-FALHA001-020,2026-07-23,MG01,Headset,Acessórios,4,264.25
