venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
RJ01-20260723-001-001,2026-07-23,RJ01,Mochila,Escritório,2,187.40
RJ01-20260723-001-002,2026-07-23,RJ01,Monitor,Eletrônicos,5,1261.56
RJ01-20260723-001-003,2026-07-23,RJ01,Monitor,Eletrônicos,4,1193.28
RJ01-20260723-001-004,2026-07-23,RJ01,Cadeira,Móveis,1,900.09
RJ01-20260723-001-005,2026-07-23,RJ01,Monitor,Eletrônicos,2,1134.60
RJ01-20260723-001-006,2026-07-23,RJ01,Caneta,Escritório,1,4.54
RJ01-20260723-001-007,2026-07-23,RJ01,Teclado,Acessórios,1,156.24
RJ01-20260723-001-008,2026-07-23,RJ01,Mouse,Acessórios,5,80.57
RJ01-20260723-001-009,2026-07-23,RJ01,Headset,Acessórios,2,263.18
RJ01-20260723-001-010,2026-07-23,RJ01,Mesa,Móveis,5,1257.60
RJ01-20260723-001-011,2026-07-23,RJ01,Mesa,Móveis,2,1273.20
RJ01-20260723-001-012,2026-07-23,RJ01,Caneta,Escritório,5,4.75
RJ01-20260723-001-013,2026-07-23,RJ01,Monitor,Eletrônicos,3,1129.68
RJ01-20260723-001-014,2026-07-23,RJ01,Caneta,Escritório,2,5.47
RJ01-20260723-001-015,2026-07-23,RJ01,Caneta,Escritório,5,4.99
RJ01-20260723-001-016,2026-07-23,RJ01,Headset,Acessórios,3,271.42
RJ01-20260723-001-017,2026-07-23,RJ01,Teclado,Acessórios,5,162.22
RJ01-20260723-001-018,2026-07-23,RJ01,Mochila,Escritório,5,169.11
RJ01-20260723-001-019,2026-07-23,RJ01,Caderno,Escritório,3,22.71
RJ01-20260723-001-020,2026-07-23,RJ01,Mochila,Escritório,2,166.82
