venda_id_origem,data_venda,filial,produto,categoria,quantidade,valor_unitario
SP01-20260723-001-001,2026-07-23,SP01,Caneta,Escritório,2,5.43
SP01-20260723-001-002,2026-07-23,SP01,Caderno,Escritório,3,24.89
SP01-20260723-001-003,2026-07-23,SP01,Notebook,Eletrônicos,5,3303.65
SP01-20260723-001-004,2026-07-23,SP01,Caneta,Escritório,2,5.44
SP01-20260723-001-005,2026-07-23,SP01,Headset,Acessórios,4,260.45
SP01-20260723-001-006,2026-07-23,SP01,Teclado,Acessórios,3,164.82
SP01-20260723-001-007,2026-07-23,SP01,Mochila,Escritório,1,171.40
SP01-20260723-001-008,2026-07-23,SP01,Teclado,Acessórios,2,137.72
SP01-20260723-001-009,2026-07-23,SP01,Mochila,Escritório,5,175.50
SP01-20260723-001-010,2026-07-23,SP01,Teclado,Acessórios,4,159.15
SP01-20260723-001-011,2026-07-23,SP01,Cadeira,Móveis,2,927.45
SP01-20260723-001-012,2026-07-23,SP01,Mesa,Móveis,4,1131.12
SP01-20260723-001-013,2026-07-23,SP01,Monitor,Eletrônicos,4,1194.84
SP01-20260723-001-014,2026-07-23,SP01,Headset,Acessórios,2,230.65
SP01-20260723-001-015,2026-07-23,SP01,Caneta,Escritório,3,5.18
SP01-20260723-001-016,2026-07-23,SP01,Headset,Acessórios,4,265.05
SP01-20260723-001-017,2026-07-23,SP01,Mesa,Móveis,2,1183.92
SP01-20260723-001-018,2026-07-23,SP01,Monitor,Eletrônicos,4,1262.88
SP01-20260723-001-019,2026-07-23,SP01,Mesa,Móveis,1,1294.20
SP01-20260723-001-020,2026-07-23,SP01,Mochila,Escritório,2,181.71
